Team ID,Nickname,Team City,Year Founded,Team Name,Abbreviation,Team State,Abbreviation,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team Active Until
1610612737,Hawks,Atlanta,1949,Atlanta Hawks,ATL,Atlanta,,,,,,,,,,,
1610612738,Celtics,Boston,1946,Boston Celtics,BOS,Massachusetts,,,,,,,,,,,
1610612739,Cavaliers,Cleveland,1970,Cleveland Cavaliers,CLE,Ohio,,,,,,,,,,,
1610612740,Pelicans,New Orleans,2002,New Orleans Pelicans,NOP,Louisiana,,,,,,,,,,,
1610612741,Bulls,Chicago,1966,Chicago Bulls,CHI,Illinois,,,,,,,,,,,
1610612742,Mavericks,Dallas,1980,Dallas Mavericks,DAL,Texas,,,,,,,,,,,
1610612743,Nuggets,Denver,1976,Denver Nuggets,DEN,Colorado,,,,,,,,,,,
1610612744,Warriors,Golden State,1946,Golden State Warriors,GSW,California,,,,,,,,,,,
1610612745,Rockets,Houston,1967,Houston Rockets,HOU,Texas,,,,,,,,,,,
1610612746,Clippers,Los Angeles,1970,Los Angeles Clippers,LAC,California,,,,,,,,,,,
1610612747,Lakers,Los Angeles,1948,Los Angeles Lakers,LAL,California,,,,,,,,,,,
1610612748,Heat,Miami,1988,Miami Heat,MIA,Florida,,,,,,,,,,,
1610612749,Bucks,Milwaukee,1968,Milwaukee Bucks,MIL,Wisconsin,,,,,,,,,,,
1610612750,Timberwolves,Minnesota,1989,Minnesota Timberwolves,MIN,Minnesota,,,,,,,,,,,
1610612751,Nets,Brooklyn,1976,Brooklyn Nets,BKN,New York,,,,,,,,,,,
1610612752,Knicks,New York,1946,New York Knicks,NYK,New York,,,,,,,,,,,
1610612753,Magic,Orlando,1989,Orlando Magic,ORL,Florida,,,,,,,,,,,
1610612754,Pacers,Indiana,1976,Indiana Pacers,IND,Indiana,,,,,,,,,,,
1610612755,76ers,Philadelphia,1949,Philadelphia 76ers,PHI,Pennsylvania,,,,,,,,,,,
1610612756,Suns,Phoenix,1968,Phoenix Suns,PHX,Arizona,,,,,,,,,,,
1610612757,Trail Blazers,Portland,1970,Portland Trail Blazers,POR,Oregon,,,,,,,,,,,
1610612758,Kings,Sacramento,1948,Sacramento Kings,SAC,California,,,,,,,,,,,
1610612759,Spurs,San Antonio,1976,San Antonio Spurs,SAS,Texas,,,,,,,,,,,
1610612760,Thunder,Oklahoma City,1967,Oklahoma City Thunder,OKC,Oklahoma,,,,,,,,,,,
1610612761,Raptors,Toronto,1995,Toronto Raptors,TOR,Ontario,,,,,,,,,,,
1610612762,Jazz,Utah,1974,Utah Jazz,UTA,Utah,,,,,,,,,,,
1610612763,Grizzlies,Memphis,1995,Memphis Grizzlies,MEM,Tennessee,,,,,,,,,,,
1610612764,Wizards,Washington,1961,Washington Wizards,WAS,District of Columbia,,,,,,,,,,,
1610612765,Pistons,Detroit,1948,Detroit Pistons,DET,Michigan,,,,,,,,,,,
